infinitive_english,infinitive,mood,mood_english,tense,tense_english,verb_english,1st person singular,2nd person singular,3rd person singular,1st person plural,2nd person plural,third person plural,gerund,pastparticiple
"to abandon, leave behind, desert to quit, give up",abandonar,Subjuntivo,Subjunctive,Presente,Present,"I abandon, am abandoning",abandone,abandones,abandone,abandonemos,abandonéis,abandonen,abandonando,abandonado
"to abandon, leave behind, desert to quit, give up",abandonar,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I abandoned, was abandoning",abandonara,abandonaras,abandonara,abandonáramos,abandonarais,abandonaran,abandonando,abandonado
"to abandon, leave behind, desert to quit, give up",abandonar,Subjuntivo,Subjunctive,Futuro,Future,I will abandon,abandonare,abandonares,abandonare,abandonáremos,abandonareis,abandonaren,abandonando,abandonado
"to abandon, leave behind, desert to quit, give up",abandonar,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have abandoned, abandoned",haya abandonado,hayas abandonado,haya abandonado,hayamos abandonado,hayáis abandonado,hayan abandonado,abandonando,abandonado
"to abandon, leave behind, desert to quit, give up",abandonar,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have abandoned,hubiere abandonado,hubieres abandonado,hubiere abandonado,hubiéremos abandonado,hubiereis abandonado,hubieren abandonado,abandonando,abandonado
"to abandon, leave behind, desert to quit, give up",abandonar,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had abandoned,hubiera abandonado,hubieras abandonado,hubiera abandonado,hubiéramos abandonado,hubierais abandonado,hubieran abandonado,abandonando,abandonado
"to abandon, leave behind, desert to quit, give up",abandonar,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Abandon! Don't abandon!,,abandona,abandonad,,abandone,abandonen,abandonando,abandonado
"to abandon, leave behind, desert to quit, give up",abandonar,Imperativo Negativo,Imperative Negative,Presente,Present,Abandon! Don't abandon!,,no abandones,no abandonéis,,no abandone,no abandonen,abandonando,abandonado
"to board, get on  plane, bus, etc. to approach, accost  a person",abordar,Indicativo,Indicative,Presente,Present,"I board, am boarding",abordo,abordas,aborda,abordamos,abordáis,abordan,abordando,abordado
"to board, get on plane, bus, etc. to approach, accost a person",abordar,Indicativo,Indicative,Futuro,Future,I will board,abordaré,abordarás,abordará,abordaremos,abordaréis,abordarán,abordando,abordado
"to board, get on plane, bus, etc. to approach, accost a person",abordar,Indicativo,Indicative,Imperfecto,Imperfect,"I was boarding, used to board, boarded",abordaba,abordabas,abordaba,abordábamos,abordabais,abordaban,abordando,abordado
"to board, get on plane, bus, etc. to approach, accost a person",abordar,Indicativo,Indicative,Pretérito,Preterite,I boarded,abordé,abordaste,abordó,abordamos,abordasteis,abordaron,abordando,abordado
"to board, get on plane, bus, etc. to approach, accost a person",abordar,Indicativo,Indicative,Condicional,Conditional,I would board,abordaría,abordarías,abordaría,abordaríamos,abordaríais,abordarían,abordando,abordado
"to board, get on plane, bus, etc. to approach, accost a person",abordar,Indicativo,Indicative,Presente perfecto,Present Perfect,I have boarded,he abordado,has abordado,ha abordado,hemos abordado,habéis abordado,han abordado,abordando,abordado
"to board, get on plane, bus, etc. to approach, accost a person",abordar,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have boarded,habré abordado,habrás abordado,habrá abordado,habremos abordado,habréis abordado,habrán abordado,abordando,abordado
"to board, get on plane, bus, etc. to approach, accost a person",abordar,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had boarded,había abordado,habías abordado,había abordado,habíamos abordado,habíais abordado,habían abordado,abordando,abordado
"to board, get on plane, bus, etc. to approach, accost a person",abordar,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had boarded,hube abordado,hubiste abordado,hubo abordado,hubimos abordado,hubisteis abordado,hubieron abordado,abordando,abordado
"to board, get on plane, bus, etc. to approach, accost a person",abordar,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have boarded,habría abordado,habrías abordado,habría abordado,habríamos abordado,habríais abordado,habrían abordado,abordando,abordado
"to board, get on plane, bus, etc. to approach, accost a person",abordar,Subjuntivo,Subjunctive,Presente,Present,"I board, am boarding",aborde,abordes,aborde,abordemos,abordéis,aborden,abordando,abordado
"to board, get on plane, bus, etc. to approach, accost a person",abordar,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I boarded, was boarding",abordara,abordaras,abordara,abordáramos,abordarais,abordaran,abordando,abordado
"to board, get on plane, bus, etc. to approach, accost a person",abordar,Subjuntivo,Subjunctive,Futuro,Future,I will board,abordare,abordares,abordare,abordáremos,abordareis,abordaren,abordando,abordado
"to board, get on plane, bus, etc. to approach, accost a person",abordar,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have boarded, boarded",haya abordado,hayas abordado,haya abordado,hayamos abordado,hayáis abordado,hayan abordado,abordando,abordado
"to board, get on plane, bus, etc. to approach, accost a person",abordar,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have boarded,hubiere abordado,hubieres abordado,hubiere abordado,hubiéremos abordado,hubiereis abordado,hubieren abordado,abordando,abordado
"to board, get on plane, bus, etc. to approach, accost a person",abordar,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had boarded,hubiera abordado,hubieras abordado,hubiera abordado,hubiéramos abordado,hubierais abordado,hubieran abordado,abordando,abordado
"to board, get on plane, bus, etc. to approach, accost a person",abordar,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Board! Don't board!,,aborda,abordad,,aborde,aborden,abordando,abordado
"to board, get on plane, bus, etc. to approach, accost a person",abordar,Imperativo Negativo,Imperative Negative,Presente,Present,Board! Don't board!,,no abordes,no abordéis,,no aborde,no aborden,abordando,abordado
"to abort, cause to miscarry to have a miscarriage",abortar,Indicativo,Indicative,Presente,Present,"I abort, am aborting",aborto,abortas,aborta,abortamos,abortáis,abortan,abortando,abortado
"to abort, cause to miscarry to have a miscarriage",abortar,Indicativo,Indicative,Futuro,Future,I will abort,abortaré,abortarás,abortará,abortaremos,abortaréis,abortarán,abortando,abortado
"to abort, cause to miscarry to have a miscarriage",abortar,Indicativo,Indicative,Imperfecto,Imperfect,"I was aborting, used to abort, aborted",abortaba,abortabas,abortaba,abortábamos,abortabais,abortaban,abortando,abortado
"to abort, cause to miscarry to have a miscarriage",abortar,Indicativo,Indicative,Pretérito,Preterite,I aborted,aborté,abortaste,abortó,abortamos,abortasteis,abortaron,abortando,abortado
"to abort, cause to miscarry to have a miscarriage",abortar,Indicativo,Indicative,Condicional,Conditional,I would abort,abortaría,abortarías,abortaría,abortaríamos,abortaríais,abortarían,abortando,abortado
"to abort, cause to miscarry to have a miscarriage",abortar,Indicativo,Indicative,Presente perfecto,Present Perfect,I have aborted,he abortado,has abortado,ha abortado,hemos abortado,habéis abortado,han abortado,abortando,abortado
"to abort, cause to miscarry to have a miscarriage",abortar,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have aborted,habré abortado,habrás abortado,habrá abortado,habremos abortado,habréis abortado,habrán abortado,abortando,abortado
"to abort, cause to miscarry to have a miscarriage",abortar,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had aborted,había abortado,habías abortado,había abortado,habíamos abortado,habíais abortado,habían abortado,abortando,abortado
"to abort, cause to miscarry to have a miscarriage",abortar,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had aborted,hube abortado,hubiste abortado,hubo abortado,hubimos abortado,hubisteis abortado,hubieron abortado,abortando,abortado
"to abort, cause to miscarry to have a miscarriage",abortar,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have aborted,habría abortado,habrías abortado,habría abortado,habríamos abortado,habríais abortado,habrían abortado,abortando,abortado
"to abort, cause to miscarry to have a miscarriage",abortar,Subjuntivo,Subjunctive,Presente,Present,"I abort, am aborting",aborte,abortes,aborte,abortemos,abortéis,aborten,abortando,abortado
"to abort, cause to miscarry to have a miscarriage",abortar,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I aborted, was aborting",abortara,abortaras,abortara,abortáramos,abortarais,abortaran,abortando,abortado
"to abort, cause to miscarry to have a miscarriage",abortar,Subjuntivo,Subjunctive,Futuro,Future,I will abort,abortare,abortares,abortare,abortáremos,abortareis,abortaren,abortando,abortado
"to abort, cause to miscarry to have a miscarriage",abortar,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have aborted, aborted",haya abortado,hayas abortado,haya abortado,hayamos abortado,hayáis abortado,hayan abortado,abortando,abortado
"to abort, cause to miscarry to have a miscarriage",abortar,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have aborted,hubiere abortado,hubieres abortado,hubiere abortado,hubiéremos abortado,hubiereis abortado,hubieren abortado,abortando,abortado
"to abort, cause to miscarry to have a miscarriage",abortar,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had aborted,hubiera abortado,hubieras abortado,hubiera abortado,hubiéramos abortado,hubierais abortado,hubieran abortado,abortando,abortado
"to abort, cause to miscarry to have a miscarriage",abortar,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Abort! Don't abort!,,aborta,abortad,,aborte,aborten,abortando,abortado
"to abort, cause to miscarry to have a miscarriage",abortar,Imperativo Negativo,Imperative Negative,Presente,Present,Abort! Don't abort!,,no abortes,no abortéis,,no aborte,no aborten,abortando,abortado
"to hug, embrace",abrazar,Indicativo,Indicative,Presente,Present,"I hug, am hugging",abrazo,abrazas,abraza,abrazamos,abrazáis,abrazan,abrazando,abrazado
"to hug, embrace",abrazar,Indicativo,Indicative,Futuro,Future,I will hug,abrazaré,abrazarás,abrazará,abrazaremos,abrazaréis,abrazarán,abrazando,abrazado
"to hug, embrace",abrazar,Indicativo,Indicative,Imperfecto,Imperfect,"I was hugging, used to hug, hugged",abrazaba,abrazabas,abrazaba,abrazábamos,abrazabais,abrazaban,abrazando,abrazado
"to hug, embrace",abrazar,Indicativo,Indicative,Pretérito,Preterite,I hugged,abracé,abrazaste,abrazó,abrazamos,abrazasteis,abrazaron,abrazando,abrazado
"to hug, embrace",abrazar,Indicativo,Indicative,Condicional,Conditional,I would hug,abrazaría,abrazarías,abrazaría,abrazaríamos,abrazaríais,abrazarían,abrazando,abrazado
"to hug, embrace",abrazar,Indicativo,Indicative,Presente perfecto,Present Perfect,I have hugged,he abrazado,has abrazado,ha abrazado,hemos abrazado,habéis abrazado,han abrazado,abrazando,abrazado
"to hug, embrace",abrazar,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have hugged,habré abrazado,habrás abrazado,habrá abrazado,habremos abrazado,habréis abrazado,habrán abrazado,abrazando,abrazado
"to hug, embrace",abrazar,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had hugged,había abrazado,habías abrazado,había abrazado,habíamos abrazado,habíais abrazado,habían abrazado,abrazando,abrazado
"to hug, embrace",abrazar,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had hugged,hube abrazado,hubiste abrazado,hubo abrazado,hubimos abrazado,hubisteis abrazado,hubieron abrazado,abrazando,abrazado
"to hug, embrace",abrazar,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have hugged,habría abrazado,habrías abrazado,habría abrazado,habríamos abrazado,habríais abrazado,habrían abrazado,abrazando,abrazado
"to hug, embrace",abrazar,Subjuntivo,Subjunctive,Presente,Present,"I hug, am hugging",abrace,abraces,abrace,abracemos,abracéis,abracen,abrazando,abrazado
"to hug, embrace",abrazar,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I hugged, was hugging",abrazara,abrazaras,abrazara,abrazáramos,abrazarais,abrazaran,abrazando,abrazado
"to hug, embrace",abrazar,Subjuntivo,Subjunctive,Futuro,Future,I will hug,abrazare,abrazares,abrazare,abrazáremos,abrazareis,abrazaren,abrazando,abrazado
"to hug, embrace",abrazar,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have hugged, hugged",haya abrazado,hayas abrazado,haya abrazado,hayamos abrazado,hayáis abrazado,hayan abrazado,abrazando,abrazado
"to hug, embrace",abrazar,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have hugged,hubiere abrazado,hubieres abrazado,hubiere abrazado,hubiéremos abrazado,hubiereis abrazado,hubieren abrazado,abrazando,abrazado
"to hug, embrace",abrazar,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had hugged,hubiera abrazado,hubieras abrazado,hubiera abrazado,hubiéramos abrazado,hubierais abrazado,hubieran abrazado,abrazando,abrazado
"to hug, embrace",abrazar,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Hug! Don't hug!,,abraza,abrazad,,abrace,abracen,abrazando,abrazado
"to hug, embrace",abrazar,Imperativo Negativo,Imperative Negative,Presente,Present,Hug! Don't hug!,,no abraces,no abracéis,,no abrace,no abracen,abrazando,abrazado
to open,abrir,Indicativo,Indicative,Presente,Present,"I open, am opening",abro,abres,abre,abrimos,abrís,abren,abriendo,abierto
to open,abrir,Indicativo,Indicative,Futuro,Future,I will open,abriré,abrirás,abrirá,abriremos,abriréis,abrirán,abriendo,abierto
to open,abrir,Indicativo,Indicative,Imperfecto,Imperfect,"I was opening, used to open, opened",abría,abrías,abría,abríamos,abríais,abrían,abriendo,abierto
to open,abrir,Indicativo,Indicative,Pretérito,Preterite,I opened,abrí,abriste,abrió,abrimos,abristeis,abrieron,abriendo,abierto
to open,abrir,Indicativo,Indicative,Condicional,Conditional,I would open,abriría,abrirías,abriría,abriríamos,abriríais,abrirían,abriendo,abierto
to open,abrir,Indicativo,Indicative,Presente perfecto,Present Perfect,I have opened,he abierto,has abierto,ha abierto,hemos abierto,habéis abierto,han abierto,abriendo,abierto
to open,abrir,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have opened,habré abierto,habrás abierto,habrá abierto,habremos abierto,habréis abierto,habrán abierto,abriendo,abierto
to open,abrir,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had opened,había abierto,habías abierto,había abierto,habíamos abierto,habíais abierto,habían abierto,abriendo,abierto
to open,abrir,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had opened,hube abierto,hubiste abierto,hubo abierto,hubimos abierto,hubisteis abierto,hubieron abierto,abriendo,abierto
to open,abrir,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have opened,habría abierto,habrías abierto,habría abierto,habríamos abierto,habríais abierto,habrían abierto,abriendo,abierto
to open,abrir,Subjuntivo,Subjunctive,Presente,Present,"I open, am opening",abra,abras,abra,abramos,abráis,abran,abriendo,abierto
to open,abrir,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I opened, was opening",abriera,abrieras,abriera,abriéramos,abrierais,abrieran,abriendo,abierto
to open,abrir,Subjuntivo,Subjunctive,Futuro,Future,I will open,abriere,abrieres,abriere,abriéremos,abriereis,abrieren,abriendo,abierto
to open,abrir,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have opened, opened",haya abierto,hayas abierto,haya abierto,hayamos abierto,hayáis abierto,hayan abierto,abriendo,abierto
to open,abrir,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have opened,hubiere abierto,hubieres abierto,hubiere abierto,hubiéremos abierto,hubiereis abierto,hubieren abierto,abriendo,abierto
to open,abrir,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had opened,hubiera abierto,hubieras abierto,hubiera abierto,hubiéramos abierto,hubierais abierto,hubieran abierto,abriendo,abierto
to open,abrir,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Open! Don't open!,,abre,abrid,,abra,abran,abriendo,abierto
to open,abrir,Imperativo Negativo,Imperative Negative,Presente,Present,Open! Don't open!,,no abras,no abráis,,no abra,no abran,abriendo,abierto
"to bore to tire, weary",aburrir,Indicativo,Indicative,Presente,Present,"I bore, am boring",aburro,aburres,aburre,aburrimos,aburrís,aburren,aburriendo,aburrido
"to bore to tire, weary",aburrir,Indicativo,Indicative,Futuro,Future,I will bore,aburriré,aburrirás,aburrirá,aburriremos,aburriréis,aburrirán,aburriendo,aburrido
"to bore to tire, weary",aburrir,Indicativo,Indicative,Imperfecto,Imperfect,"I was boring, used to bore, bored",aburría,aburrías,aburría,aburríamos,aburríais,aburrían,aburriendo,aburrido
"to bore to tire, weary",aburrir,Indicativo,Indicative,Pretérito,Preterite,I bored,aburrí,aburriste,aburrió,aburrimos,aburristeis,aburrieron,aburriendo,aburrido
"to bore to tire, weary",aburrir,Indicativo,Indicative,Condicional,Conditional,I would bore,aburriría,aburrirías,aburriría,aburriríamos,aburriríais,aburrirían,aburriendo,aburrido
"to bore to tire, weary",aburrir,Indicativo,Indicative,Presente perfecto,Present Perfect,I have bored,he aburrido,has aburrido,ha aburrido,hemos aburrido,habéis aburrido,han aburrido,aburriendo,aburrido
"to bore to tire, weary",aburrir,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have bored,habré aburrido,habrás aburrido,habrá aburrido,habremos aburrido,habréis aburrido,habrán aburrido,aburriendo,aburrido
"to bore to tire, weary",aburrir,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had bored,había aburrido,habías aburrido,había aburrido,habíamos aburrido,habíais aburrido,habían aburrido,aburriendo,aburrido
"to bore to tire, weary",aburrir,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had bored,hube aburrido,hubiste aburrido,hubo aburrido,hubimos aburrido,hubisteis aburrido,hubieron aburrido,aburriendo,aburrido
"to bore to tire, weary",aburrir,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have bored,habría aburrido,habrías aburrido,habría aburrido,habríamos aburrido,habríais aburrido,habrían aburrido,aburriendo,aburrido
"to bore to tire, weary",aburrir,Subjuntivo,Subjunctive,Presente,Present,"I bore, am boring",aburra,aburras,aburra,aburramos,aburráis,aburran,aburriendo,aburrido
"to bore to tire, weary",aburrir,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I bored, was boring",aburriera,aburrieras,aburriera,aburriéramos,aburrierais,aburrieran,aburriendo,aburrido
"to bore to tire, weary",aburrir,Subjuntivo,Subjunctive,Futuro,Future,I will bore,aburriere,aburrieres,aburriere,aburriéremos,aburriereis,aburrieren,aburriendo,aburrido
"to bore to tire, weary",aburrir,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have bored, bored",haya aburrido,hayas aburrido,haya aburrido,hayamos aburrido,hayáis aburrido,hayan aburrido,aburriendo,aburrido
"to bore to tire, weary",aburrir,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have bored,hubiere aburrido,hubieres aburrido,hubiere aburrido,hubiéremos aburrido,hubiereis aburrido,hubieren aburrido,aburriendo,aburrido
"to bore to tire, weary",aburrir,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had bored,hubiera aburrido,hubieras aburrido,hubiera aburrido,hubiéramos aburrido,hubierais aburrido,hubieran aburrido,aburriendo,aburrido
"to bore to tire, weary",aburrir,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Bore! Don't bore!,,aburre,aburrid,,aburra,aburran,aburriendo,aburrido
"to bore to tire, weary",aburrir,Imperativo Negativo,Imperative Negative,Presente,Present,Bore! Don't bore!,,no aburras,no aburráis,,no aburra,no aburran,aburriendo,aburrido
"to get bored, become bored, be bored",aburrirse,Indicativo,Indicative,Presente,Present,"I get bored, am getting bored",me aburro,te aburres,se aburre,nos aburrimos,os aburrís,se aburren,aburriéndose,aburrido
"to get bored, become bored, be bored",aburrirse,Indicativo,Indicative,Futuro,Future,I will get bored,me aburriré,te aburrirás,se aburrirá,nos aburriremos,os aburriréis,se aburrirán,aburriéndose,aburrido
"to get bored, become bored, be bored",aburrirse,Indicativo,Indicative,Imperfecto,Imperfect,"I was getting bored, used to get bored, got bored",me aburría,te aburrías,se aburría,nos aburríamos,os aburríais,se aburrían,aburriéndose,aburrido
"to get bored, become bored, be bored",aburrirse,Indicativo,Indicative,Pretérito,Preterite,I got bored,me aburrí,te aburriste,se aburrió,nos aburrimos,os aburristeis,se aburrieron,aburriéndose,aburrido
"to get bored, become bored, be bored",aburrirse,Indicativo,Indicative,Condicional,Conditional,I would get bored,me aburriría,te aburrirías,se aburriría,nos aburriríamos,os aburriríais,se aburrirían,aburriéndose,aburrido
"to get bored, become bored, be bored",aburrirse,Indicativo,Indicative,Presente perfecto,Present Perfect,I have gotten bored,me he aburrido,te has aburrido,se ha aburrido,nos hemos aburrido,os habéis aburrido,se han aburrido,aburriéndose,aburrido
"to get bored, become bored, be bored",aburrirse,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have gotten bored,me habré aburrido,te habrás aburrido,se habrá aburrido,nos habremos aburrido,os habréis aburrido,se habrán aburrido,aburriéndose,aburrido
"to get bored, become bored, be bored",aburrirse,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had gotten bored,me había aburrido,te habías aburrido,se había aburrido,nos habíamos aburrido,os habíais aburrido,se habían aburrido,aburriéndose,aburrido
"to get bored, become bored, be bored",aburrirse,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had gotten bored,me hube aburrido,te hubiste aburrido,se hubo aburrido,nos hubimos aburrido,os hubisteis aburrido,se hubieron aburrido,aburriéndose,aburrido
"to get bored, become bored, be bored",aburrirse,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have gotten bored,me habría aburrido,te habrías aburrido,se habría aburrido,nos habríamos aburrido,os habríais aburrido,se habrían aburrido,aburriéndose,aburrido
"to get bored, become bored, be bored",aburrirse,Subjuntivo,Subjunctive,Presente,Present,"I get bored, am getting bored",me aburra,te aburras,se aburra,nos aburramos,os aburráis,se aburran,aburriéndose,aburrido
"to get bored, become bored, be bored",aburrirse,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I got bored, was getting bored",me aburriera,te aburrieras,se aburriera,nos aburriéramos,os aburrierais,se aburrieran,aburriéndose,aburrido
"to get bored, become bored, be bored",aburrirse,Subjuntivo,Subjunctive,Futuro,Future,I will get bored,me aburriere,te aburrieres,se aburriere,nos aburriéremos,os aburriereis,se aburrieren,aburriéndose,aburrido
"to get bored, become bored, be bored",aburrirse,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have gotten bored, got bored",me haya aburrido,te hayas aburrido,se haya aburrido,nos hayamos aburrido,os hayáis aburrido,se hayan aburrido,aburriéndose,aburrido
"to get bored, become bored, be bored",aburrirse,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have gotten bored,me hubiere aburrido,te hubieres aburrido,se hubiere aburrido,nos hubiéremos aburrido,os hubiereis aburrido,se hubieren aburrido,aburriéndose,aburrido
"to get bored, become bored, be bored",aburrirse,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had gotten bored,me hubiera aburrido,te hubieras aburrido,se hubiera aburrido,nos hubiéramos aburrido,os hubierais aburrido,se hubieran aburrido,aburriéndose,aburrido
"to get bored, become bored, be bored",aburrirse,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Get bored! Don't get bored!,,abúrrete,aburríos,,abúrrase,abúrranse,aburriéndose,aburrido
"to get bored, become bored, be bored",aburrirse,Imperativo Negativo,Imperative Negative,Presente,Present,Get bored! Don't get bored!,,no te aburras,no os aburráis,,no se aburra,no se aburran,aburriéndose,aburrido
"to go too far, take advantage",abusar,Indicativo,Indicative,Presente,Present,"I go too far, am going too far",abuso,abusas,abusa,abusamos,abusáis,abusan,abusando,abusado
"to go too far, take advantage",abusar,Indicativo,Indicative,Futuro,Future,I will go too far,abusaré,abusarás,abusará,abusaremos,abusaréis,abusarán,abusando,abusado
"to go too far, take advantage",abusar,Indicativo,Indicative,Imperfecto,Imperfect,"I was going too far, used to go too far, went too far",abusaba,abusabas,abusaba,abusábamos,abusabais,abusaban,abusando,abusado
"to go too far, take advantage",abusar,Indicativo,Indicative,Pretérito,Preterite,I went too far,abusé,abusaste,abusó,abusamos,abusasteis,abusaron,abusando,abusado
"to go too far, take advantage",abusar,Indicativo,Indicative,Condicional,Conditional,I would go too far,abusaría,abusarías,abusaría,abusaríamos,abusaríais,abusarían,abusando,abusado
"to go too far, take advantage",abusar,Indicativo,Indicative,Presente perfecto,Present Perfect,I have gone too far,he abusado,has abusado,ha abusado,hemos abusado,habéis abusado,han abusado,abusando,abusado
"to go too far, take advantage",abusar,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have gone too far,habré abusado,habrás abusado,habrá abusado,habremos abusado,habréis abusado,habrán abusado,abusando,abusado
"to go too far, take advantage",abusar,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had gone too far,había abusado,habías abusado,había abusado,habíamos abusado,habíais abusado,habían abusado,abusando,abusado
"to go too far, take advantage",abusar,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had gone too far,hube abusado,hubiste abusado,hubo abusado,hubimos abusado,hubisteis abusado,hubieron abusado,abusando,abusado
"to go too far, take advantage",abusar,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have gone too far,habría abusado,habrías abusado,habría abusado,habríamos abusado,habríais abusado,habrían abusado,abusando,abusado
"to go too far, take advantage",abusar,Subjuntivo,Subjunctive,Presente,Present,"I go too far, am going too far",abuse,abuses,abuse,abusemos,abuséis,abusen,abusando,abusado
"to go too far, take advantage",abusar,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I went too far, was going too far",abusara,abusaras,abusara,abusáramos,abusarais,abusaran,abusando,abusado
"to go too far, take advantage",abusar,Subjuntivo,Subjunctive,Futuro,Future,I will go too far,abusare,abusares,abusare,abusáremos,abusareis,abusaren,abusando,abusado
